idx,frame_id,diagnostic_mode,stage,path,present,decode_ok,decode_error,sha256,content_sha256,width,height,area,all_black,rgb_sha256,within_frame_duplicate_group,cross_frame_duplicate_frame_count,cross_frame_duplicate_class
9,f0009,cargo-only,m0,mask\f0009_m0.png,True,True,,c65e5afd65bd122347f50400038e8d7d8839c98c69ce8a172f2dd7c500578a3f,d03324d976bbd3cadb26eaea978ef31ade89291032e4b81a6693ab670ced02fd,720,480,1217,False,c23f01462ce259dade07723b1af8ed37bd3f63484b333f95ea321c705e005ed4,m0+m1 [expected_no_op],,
9,f0009,cargo-only,m1,mask\f0009_m1.png,True,True,,e5875dce8a7d35ea3ac5417fe3bce39b52a6c567671217f1ee7565edfea08be6,d03324d976bbd3cadb26eaea978ef31ade89291032e4b81a6693ab670ced02fd,720,480,1217,False,c23f01462ce259dade07723b1af8ed37bd3f63484b333f95ea321c705e005ed4,m0+m1 [expected_no_op],,
9,f0009,cargo-only,m2,mask\f0009_m2.png,True,True,,1a9a3212f9f44ca9e6af6ac2895021a31ba254aca258c2f125a24ea9a801d4c7,4df364fdf4bd12a9de649134d1a39c21dc03c2bc1f05035334201834cd745205,720,480,1176,False,c23f01462ce259dade07723b1af8ed37bd3f63484b333f95ea321c705e005ed4,m2+m3+m4 [expected_no_op],,
9,f0009,cargo-only,m3,mask\f0009_m3.png,True,True,,9252dbcb990d9776a3a3a693a432a41f6fa9233cdeb775623e20014aa448620e,4df364fdf4bd12a9de649134d1a39c21dc03c2bc1f05035334201834cd745205,720,480,1176,False,c23f01462ce259dade07723b1af8ed37bd3f63484b333f95ea321c705e005ed4,m2+m3+m4 [expected_no_op],,
9,f0009,cargo-only,m4,mask\f0009_m4.png,True,True,,76627097c17f451345b2ad0b129d503d24be8a2375e4105e2e93ff65eee38021,4df364fdf4bd12a9de649134d1a39c21dc03c2bc1f05035334201834cd745205,720,480,1176,False,c23f01462ce259dade07723b1af8ed37bd3f63484b333f95ea321c705e005ed4,m2+m3+m4 [expected_no_op],,
10,f0010,controlled-occlusion,m0,mask\f0010_m0.png,True,True,,b08210cf1ed04aa1e9502e012b76a2b560e27b3ca5203e174564d9b5b5ba6cc2,b4cd3a14fee2f7c8cfa0a1548a0a8ee8fe49958c3732c4302cfa63b65a2ade8a,960,540,3342,False,21abc92b21d77729a4c63f5fc2c77f96c3448343e50b065fe1546ca8a4d688f8,m0+m1 [expected_no_op],,
10,f0010,controlled-occlusion,m1,mask\f0010_m1.png,True,True,,f7c9e3037cd72a2b8a442c75ec781ed3a0528138631d34a2667aa1ad44fb6146,b4cd3a14fee2f7c8cfa0a1548a0a8ee8fe49958c3732c4302cfa63b65a2ade8a,960,540,3342,False,21abc92b21d77729a4c63f5fc2c77f96c3448343e50b065fe1546ca8a4d688f8,m0+m1 [expected_no_op],,
10,f0010,controlled-occlusion,m2,mask\f0010_m2.png,True,True,,bf4f55f1125994e2fb3d4b765f614a4d2da87aaa3d0761b651162363a86a96ce,53db870050687662031e83a8013c57afbe0ea998cfad45965d5f9c395068290d,960,540,3147,False,21abc92b21d77729a4c63f5fc2c77f96c3448343e50b065fe1546ca8a4d688f8,m2+m3 [no_op_placed_but_not_occluding],,
10,f0010,controlled-occlusion,m3,mask\f0010_m3.png,True,True,,ebb9b4e982f08b102831232b2564d0e1da16e9632ea8bad59efe754bcccef460,53db870050687662031e83a8013c57afbe0ea998cfad45965d5f9c395068290d,960,540,3147,False,21abc92b21d77729a4c63f5fc2c77f96c3448343e50b065fe1546ca8a4d688f8,m2+m3 [no_op_placed_but_not_occluding],,
10,f0010,controlled-occlusion,m4,mask\f0010_m4.png,True,True,,c2fb81e2ae16fd3807acc47a24c7d1bb61c7c4b7ac00d7c115e89d181e643ccd,0b680756faa82565444e91c7d383e59b912934dd118e583aaf603ec463778b47,960,540,2982,False,21abc92b21d77729a4c63f5fc2c77f96c3448343e50b065fe1546ca8a4d688f8,,,
11,f0011,context-rich,m0,mask\f0011_m0.png,True,True,,7e18f00f2f2a83ec7bc84337fa9699824469626c62174783a3fea320d1939eaa,11e11925466c92df7b86ab9c4e7e40e080c2c36c31a912b1819a75e0b8c00f7e,640,480,2454,False,b02ba4bd264f3e2e7fe4313696a53c54b7fcf1fbdc92d8cbcd03831d9c9677a0,m0+m1+m2+m3+m4 [no_op_placed_but_not_occluding],,
11,f0011,context-rich,m1,mask\f0011_m1.png,True,True,,f7fdc36076e24671bc9507400540f9bd8c2264c6b88ad1f182f2f6ec812e37f7,11e11925466c92df7b86ab9c4e7e40e080c2c36c31a912b1819a75e0b8c00f7e,640,480,2454,False,b02ba4bd264f3e2e7fe4313696a53c54b7fcf1fbdc92d8cbcd03831d9c9677a0,m0+m1+m2+m3+m4 [no_op_placed_but_not_occluding],,
11,f0011,context-rich,m2,mask\f0011_m2.png,True,True,,f08b5beda91e3660e56503ce9c53e180deca6e7586ed0f2d2666c5fcd63c7ffb,11e11925466c92df7b86ab9c4e7e40e080c2c36c31a912b1819a75e0b8c00f7e,640,480,2454,False,b02ba4bd264f3e2e7fe4313696a53c54b7fcf1fbdc92d8cbcd03831d9c9677a0,m0+m1+m2+m3+m4 [no_op_placed_but_not_occluding],,
11,f0011,context-rich,m3,mask\f0011_m3.png,True,True,,4e5f86a168125c1fb671e76a481f171ab81aeac3677b9cc36dc50eabfedb10fa,11e11925466c92df7b86ab9c4e7e40e080c2c36c31a912b1819a75e0b8c00f7e,640,480,2454,False,b02ba4bd264f3e2e7fe4313696a53c54b7fcf1fbdc92d8cbcd03831d9c9677a0,m0+m1+m2+m3+m4 [no_op_placed_but_not_occluding],,
11,f0011,context-rich,m4,mask\f0011_m4.png,True,True,,e3888f050de30e50353086f0639345c38bf0619192e7d57fd2cfba48d1cea883,11e11925466c92df7b86ab9c4e7e40e080c2c36c31a912b1819a75e0b8c00f7e,640,480,2454,False,b02ba4bd264f3e2e7fe4313696a53c54b7fcf1fbdc92d8cbcd03831d9c9677a0,m0+m1+m2+m3+m4 [no_op_placed_but_not_occluding],,
12,f0012,context-rich,m0,mask\f0012_m0.png,True,True,,8f4bc06f6e5a3451f43a5b78e91229b0a12ce4f08051e1ace0479908338fc3eb,0f0152f523917782a48f94c6a76efdcf65b32c8952fad33a1f9481d5c4d5668f,960,540,394165,False,16f78b21308d8c2d672422d2483a4cf9ef708c98345ff439e919084f2dccb39c,m0+m1+m2+m3+m4 [expected_no_op],,
12,f0012,context-rich,m1,mask\f0012_m1.png,True,True,,a5d3e117ebdeb8b7d8c3e9ba9b458b582e6d52ece1b9a561814b5d07200db69a,0f0152f523917782a48f94c6a76efdcf65b32c8952fad33a1f9481d5c4d5668f,960,540,394165,False,16f78b21308d8c2d672422d2483a4cf9ef708c98345ff439e919084f2dccb39c,m0+m1+m2+m3+m4 [expected_no_op],,
12,f0012,context-rich,m2,mask\f0012_m2.png,True,True,,36c1bad360d21febb7b81ff7f2cf2cbdf5e907c77c319c2452924c8f841ff6f3,0f0152f523917782a48f94c6a76efdcf65b32c8952fad33a1f9481d5c4d5668f,960,540,394165,False,16f78b21308d8c2d672422d2483a4cf9ef708c98345ff439e919084f2dccb39c,m0+m1+m2+m3+m4 [expected_no_op],,
12,f0012,context-rich,m3,mask\f0012_m3.png,True,True,,55f41c861628c0d04367ba6d5c0df659702825eeccb03d4ff0cb75b8f28728d2,0f0152f523917782a48f94c6a76efdcf65b32c8952fad33a1f9481d5c4d5668f,960,540,394165,False,16f78b21308d8c2d672422d2483a4cf9ef708c98345ff439e919084f2dccb39c,m0+m1+m2+m3+m4 [expected_no_op],,
12,f0012,context-rich,m4,mask\f0012_m4.png,True,True,,ca9be66d89be655b381cfd56b46e073246c5a744b904ad641133b72df475fe20,0f0152f523917782a48f94c6a76efdcf65b32c8952fad33a1f9481d5c4d5668f,960,540,394165,False,16f78b21308d8c2d672422d2483a4cf9ef708c98345ff439e919084f2dccb39c,m0+m1+m2+m3+m4 [expected_no_op],,
13,f0013,context-rich,m0,mask\f0013_m0.png,True,True,,8b9359e69b2680118646c341805a92d369929da591fc15fa8b819dc23e97d7cf,ee738d1e5ed997e92591e238a4045a85ef5fc60664526b1ca74c87e297e9215d,640,480,55537,False,45e401285bc2171700020e678aac0192b6ba0505aa0d07fbe508d97e95107219,m0+m1 [expected_no_op],,
13,f0013,context-rich,m1,mask\f0013_m1.png,True,True,,251e20244b6a4faf4ba76923cadf6d28db2f21cc1ae4b798fe57c938edfc38d9,ee738d1e5ed997e92591e238a4045a85ef5fc60664526b1ca74c87e297e9215d,640,480,55537,False,45e401285bc2171700020e678aac0192b6ba0505aa0d07fbe508d97e95107219,m0+m1 [expected_no_op],,
13,f0013,context-rich,m2,mask\f0013_m2.png,True,True,,43ee924fc78559cff953c18d71a62f9be83ccfa01af515ccf5f67362ac3347df,7c6b136129392dec9cdf4a42c02141fc7c158cd84a25e0cbbdf350eb41cb75f3,640,480,42073,False,45e401285bc2171700020e678aac0192b6ba0505aa0d07fbe508d97e95107219,m2+m3+m4 [no_op_placed_but_not_occluding],,
13,f0013,context-rich,m3,mask\f0013_m3.png,True,True,,f02001c2b6fafc09b8f1ce3cd77fc32bc30418a5ba473c2b53af9154124e1ef2,7c6b136129392dec9cdf4a42c02141fc7c158cd84a25e0cbbdf350eb41cb75f3,640,480,42073,False,45e401285bc2171700020e678aac0192b6ba0505aa0d07fbe508d97e95107219,m2+m3+m4 [no_op_placed_but_not_occluding],,
13,f0013,context-rich,m4,mask\f0013_m4.png,True,True,,75ada2045f9ce6c122513a67b9271b748f5028ed6401369f72e848b24721c7d5,7c6b136129392dec9cdf4a42c02141fc7c158cd84a25e0cbbdf350eb41cb75f3,640,480,42073,False,45e401285bc2171700020e678aac0192b6ba0505aa0d07fbe508d97e95107219,m2+m3+m4 [no_op_placed_but_not_occluding],,
14,f0014,context-rich,m0,mask\f0014_m0.png,True,True,,ca3832b68ffe1617000df06f29e41b01f1fb87f8a890c513475400044a8e0184,1b7c3b065ee24928757f90921d7e009f8d8bb8045c05761c212f7ec56467c6f0,560,560,5752,False,15b7fed3d8c742c82fc351b4d02ca1b91b2d2a42690812efd75d47ce8150113d,m0+m1 [expected_no_op],,
