usable_id,frame_id,projected_size_actual,mask_area_visible,mask_area_target_only,visible_fraction,occlusion_fraction_from_mask,f_total_record,f_target,f_total_vs_mask_abs_diff,diagnostic_mode
2993,f2993,0.16938478407675506,1662.0,2048.0,0.8115234375,0.1884765625,0.1884765625,0.21347761527326334,0.0,controlled-occlusion
2994,f2994,0.6884028511938618,55066.0,55066.0,1.0,0.0,0.0,0.0,0.0,context-rich
2995,f2995,0.06063011817435117,2430.0,2832.0,0.8580508474576272,0.14194915254237284,0.14194915254237284,0.25224436847652265,0.0,controlled-occlusion
2996,f2996,2.738349459743241,135213.0,135213.0,1.0,0.0,0.0,0.0,0.0,clean-static
2997,f2997,0.256438602102829,9933.0,11103.0,0.8946230748446365,0.10537692515536345,0.10537692515536345,0.42571440895378077,0.0,cargo-only
2998,f2998,0.5940744182539646,31169.0,40534.0,0.7689593921152612,0.2310406078847388,0.2310406078847388,0.0,0.0,context-rich
2999,f2999,0.07793048961592572,291.0,405.0,0.7185185185185186,0.28148148148148144,0.28148148148148144,0.2447199017092857,0.0,controlled-occlusion
3000,f3000,0.19060912983489323,1853.0,1853.0,1.0,0.0,0.0,0.0,0.0,clean-static
3001,f3001,0.4239913867360811,8070.0,8071.0,0.9998760996159088,0.0001239003840911579,0.0001239003840911579,0.11462093916631041,0.0,cargo-only
3002,f3002,0.5597848026376339,37029.0,38169.0,0.9701328303073175,0.02986716969268255,0.02986716969268255,0.3882719798141783,0.0,context-rich
3003,f3003,0.3417580826419234,6549.0,9456.0,0.6925761421319797,0.3074238578680203,0.3074238578680203,0.2640712331785046,0.0,controlled-occlusion
3004,f3004,0.2087274041425077,1357.0,1365.0,0.9941391941391942,0.00586080586080584,0.00586080586080584,0.0,0.0,context-rich
3005,f3005,0.19028097493084264,3507.0,3999.0,0.8769692423105776,0.1230307576894224,0.1230307576894224,0.13575645205450246,0.0,controlled-occlusion
3006,f3006,1.5570588524324478,73500.0,73501.0,0.9999863947429287,1.3605257071280796e-05,1.3605257071280796e-05,0.0,0.0,clean-static
3007,f3007,0.14181582325299344,1993.0,2100.0,0.949047619047619,0.05095238095238097,0.05095238095238097,0.0,0.0,cargo-only
3008,f3008,0.23736707904111423,10046.0,11739.0,0.855779879035693,0.14422012096430703,0.14422012096430703,0.4283345617547223,0.0,context-rich
3009,f3009,0.5311384906636005,13140.0,15752.0,0.8341797866937531,0.16582021330624686,0.16582021330624686,0.11674070583448902,0.0,controlled-occlusion
3010,f3010,1.3425929941072698,80578.0,80578.0,1.0,0.0,0.0,0.0,0.0,clean-static
3011,f3011,0.12123676582857615,1318.0,1671.0,0.7887492519449432,0.21125074805505684,0.21125074805505684,0.26837946609060986,0.0,cargo-only
