usable_id,explicit_occluder_placed,explicit_occluder_visible_pixels,explicit_selected_object,occluder_side_target,occluder_side_actual,occluder_side_match,amodal_px,visible_px,visible_fraction,f_total_from_mask,f_total_record,f_target,f_target_error,camera_distance_actual_m,elev_actual,projected_size_actual,explicit_proposal_count,occluder_feedback_iterations,runtime_s
1437,True,12324,Dist_utility_box_01,right,right,True,57398,39994,0.6967838600648106,0.30321613993518937,0.30321613993518937,0.1466884704345538,0.15652766950063557,1.9485470808830134,32.24407288877224,0.553751926971773,6,9,47.96038770675659
1438,True,611,Dist_construction_sign_01,bottom,bottom,True,5749,5432,0.9448599756479388,0.05514002435206122,0.05514002435206122,0.11513179847417498,-0.05999177412211376,5.764288417085927,10.700321432628936,0.30344902904378596,6,36,79.89986681938171
1439,True,355,Dist_Shelf_01,left,left,True,2046,1465,0.7160312805474096,0.2839687194525904,0.2839687194525904,0.10166889294845276,0.18229982650413762,7.790052625875536,31.91210578441883,0.10485537222572422,6,9,43.15779709815979
1440,True,225,Dist_utility_box_01,right,right,True,1801,1137,0.6313159355913381,0.36868406440866186,0.36868406440866186,0.4149605804824502,-0.046276516073788354,8.676579057798277,2.8208933116699253,0.20964556174089619,6,21,88.10426449775696
1441,True,136,Dist_water_dispenser_01,bottom,bottom,True,2880,2591,0.8996527777777777,0.10034722222222225,0.10034722222222225,0.1588774139279427,-0.058530191705720436,9.884259341869024,51.53991395363096,0.13114033489285673,6,2,23.66667127609253
1442,True,393,Dist_Cole_Hardware_Mug_Classic_Blue,bottom,bottom,True,66344,64221,0.9680001205836247,0.031999879416375276,0.031999879416375276,0.14010798161359841,-0.10810810219722314,1.3960202274157332,21.123512938882005,0.8001364621685246,6,36,64.62047863006592
1443,True,1383,Dist_utility_box_01,left,left,True,29942,25271,0.8439983969006747,0.15600160309932531,0.15600160309932531,0.16535252292747066,-0.009350919828145343,2.3225996833506026,13.93242302689369,0.6926954281244275,6,12,66.65731430053711
1444,True,8688,Dist_utility_box_01,left,left,True,1437,893,0.6214335421016005,0.3785664578983995,0.3785664578983995,0.42348492702402624,-0.04491846912562675,8.852995294025423,3.4114793202662805,0.1221125883169489,6,21,49.02507543563843
1445,True,754,Dist_water_dispenser_01,bottom,bottom,True,109667,98716,0.9001431606590862,0.09985683934091383,0.09985683934091383,0.11871507696535818,-0.018858237624444357,1.8839554177342162,67.44570694722586,0.5378065229852693,6,21,81.48150897026062
1446,True,6657,Dist_chinese_screen_panels,left,left,True,35036,28513,0.8138200707843362,0.18617992921566384,0.18617992921566384,0.18280462461009617,0.003375304605567675,1.8458314485646312,6.83720255316143,0.7121726600801387,6,21,33.96573829650879
1447,True,3555,Dist_water_dispenser_01,right,right,True,49627,38196,0.7696616761037338,0.23033832389626618,0.23033832389626618,0.23589377575256942,-0.0055554518563032396,1.8070022804458674,10.658735137595139,0.5154789938567713,6,21,74.75482273101807
1448,True,295,Dist_construction_sign_01,bottom,bottom,True,3066,1962,0.639921722113503,0.36007827788649704,0.36007827788649704,0.1642975807284155,0.19578069715808155,7.557598240967853,9.807107338782952,0.20069817711527732,6,36,111.64423203468323
