idx,frame_id,diagnostic_mode,stage,path,present,decode_ok,decode_error,sha256,content_sha256,width,height,area,all_black,rgb_sha256,within_frame_duplicate_group,cross_frame_duplicate_frame_count,cross_frame_duplicate_class
7,f0007,clean-static,m1,mask\f0007_m1.png,True,True,,f05be51ab61ebe3d8c3ff5e1c8aab057dc136aa669d549a8fbf43d361843496a,2e81343eefe74eed368c238b20720f11bd9ea211e79084071c94a80925e8d170,960,540,250550,False,7e6da24629b08db980e91b84362cc51071d24ff2f2ff66443bfbdde431445e96,m0+m1+m2+m3+m4 [expected_no_op],,
7,f0007,clean-static,m2,mask\f0007_m2.png,True,True,,ca00860d385aefb3579d601746e6dac210201055b6c33c42dd99f496578c511e,2e81343eefe74eed368c238b20720f11bd9ea211e79084071c94a80925e8d170,960,540,250550,False,7e6da24629b08db980e91b84362cc51071d24ff2f2ff66443bfbdde431445e96,m0+m1+m2+m3+m4 [expected_no_op],,
7,f0007,clean-static,m3,mask\f0007_m3.png,True,True,,9dbdee7c00ee8d2287954c1450f039569c92470610089d6a10f8f6d68a689de8,2e81343eefe74eed368c238b20720f11bd9ea211e79084071c94a80925e8d170,960,540,250550,False,7e6da24629b08db980e91b84362cc51071d24ff2f2ff66443bfbdde431445e96,m0+m1+m2+m3+m4 [expected_no_op],,
7,f0007,clean-static,m4,mask\f0007_m4.png,True,True,,93e880ebe366f874bfbffe0da1dfc616853c03543142b0906baf0c729c3911b5,2e81343eefe74eed368c238b20720f11bd9ea211e79084071c94a80925e8d170,960,540,250550,False,7e6da24629b08db980e91b84362cc51071d24ff2f2ff66443bfbdde431445e96,m0+m1+m2+m3+m4 [expected_no_op],,
8,f0008,clean-static,m0,mask\f0008_m0.png,True,True,,9211f3cb9dc1ee4580e16eccbf037244619efbe87d6bed1a4107503e837f8d01,712b0d22121e0e0142ad507ee0cbda1680b9191258a3668704a5dcb4d263f4ea,640,480,99256,False,42d8d395d7d805b9deee124698e99bb9e0040546a2c00f985002eb658b0d699b,m0+m1+m2+m3+m4 [expected_no_op],,
8,f0008,clean-static,m1,mask\f0008_m1.png,True,True,,31715e9a30dfae3bec2aac37ae0179d10f4c3243c402fbada9d6ff938b408acb,712b0d22121e0e0142ad507ee0cbda1680b9191258a3668704a5dcb4d263f4ea,640,480,99256,False,42d8d395d7d805b9deee124698e99bb9e0040546a2c00f985002eb658b0d699b,m0+m1+m2+m3+m4 [expected_no_op],,
8,f0008,clean-static,m2,mask\f0008_m2.png,True,True,,29eb7e9d8a03942d2158a27925b063aa37af44c7977f30a9176dc3d0e7e2ffc0,712b0d22121e0e0142ad507ee0cbda1680b9191258a3668704a5dcb4d263f4ea,640,480,99256,False,42d8d395d7d805b9deee124698e99bb9e0040546a2c00f985002eb658b0d699b,m0+m1+m2+m3+m4 [expected_no_op],,
8,f0008,clean-static,m3,mask\f0008_m3.png,True,True,,1e139fff26bf3978ba10ab48159d3bf00c88f17022512a66c30661ba299c93e9,712b0d22121e0e0142ad507ee0cbda1680b9191258a3668704a5dcb4d263f4ea,640,480,99256,False,42d8d395d7d805b9deee124698e99bb9e0040546a2c00f985002eb658b0d699b,m0+m1+m2+m3+m4 [expected_no_op],,
8,f0008,clean-static,m4,mask\f0008_m4.png,True,True,,f9bf952acdb732dca58cd5ad7d3e96b2a6b17f5a807eb19943c305ae08e6d8ea,712b0d22121e0e0142ad507ee0cbda1680b9191258a3668704a5dcb4d263f4ea,640,480,99256,False,42d8d395d7d805b9deee124698e99bb9e0040546a2c00f985002eb658b0d699b,m0+m1+m2+m3+m4 [expected_no_op],,
9,f0009,clean-static,m0,mask\f0009_m0.png,True,True,,75184132aac4fb08f9edd71fc119c19dc49ad474c64e661d78e5a5bf08f7d3e1,d03324d976bbd3cadb26eaea978ef31ade89291032e4b81a6693ab670ced02fd,720,480,1217,False,d80af0b94aacb28165e5db584586885730fbb294fbab5cd4f8cce65eb66a5197,m0+m1+m2+m3+m4 [expected_no_op],,
9,f0009,clean-static,m1,mask\f0009_m1.png,True,True,,9b0261729cc137d830941959165799fce52e5aea23afd0df81e31211a0463f46,d03324d976bbd3cadb26eaea978ef31ade89291032e4b81a6693ab670ced02fd,720,480,1217,False,d80af0b94aacb28165e5db584586885730fbb294fbab5cd4f8cce65eb66a5197,m0+m1+m2+m3+m4 [expected_no_op],,
