proposal_index,usable_slot,frame_outcome,status,baseline_proposals,baseline_proposals_removed,candidates_after_prefilter,candidates_before_prefilter,prefilter_reject_count,prefilter_reject_counts_by_reason,winner_in_baseline_proposals,winner_kept,winner_object,winner_prefilter_reason
2032,1427,expensive,ok,6,1,225,265,40,"{""prefilter_fill_ratio_too_low"": 23, ""prefilter_floor_support_infeasible"": 11, ""prefilter_insufficient_projected_area"": 6}",False,False,,
2035,1427,expensive,ok,6,0,233,315,82,"{""prefilter_fill_ratio_too_low"": 77, ""prefilter_floor_support_infeasible"": 2, ""prefilter_insufficient_projected_area"": 3}",False,False,,
2038,1427,accepted,ok,6,0,197,239,42,"{""prefilter_fill_ratio_too_low"": 25, ""prefilter_floor_support_infeasible"": 4, ""prefilter_insufficient_projected_area"": 13}",True,True,Dist_chinese_screen_panels,
2041,1428,accepted,ok,6,1,291,414,123,"{""prefilter_fill_ratio_too_low"": 120, ""prefilter_insufficient_projected_area"": 3}",True,True,Dist_chinese_screen_panels,
2042,1429,expensive,ok,6,3,79,147,68,"{""prefilter_fill_ratio_too_low"": 26, ""prefilter_floor_support_infeasible"": 35, ""prefilter_insufficient_projected_area"": 7}",False,False,,
2044,1429,accepted,ok,6,1,238,288,50,"{""prefilter_fill_ratio_too_low"": 44, ""prefilter_floor_support_infeasible"": 1, ""prefilter_insufficient_projected_area"": 5}",True,True,Dist_chinese_screen_panels,
2048,1430,expensive,ok,6,1,97,188,91,"{""prefilter_fill_ratio_too_low"": 9, ""prefilter_floor_support_infeasible"": 75, ""prefilter_insufficient_projected_area"": 7}",False,False,,
2051,1430,expensive,filtered_reject:diagnostic_explicit_prefilter_exhausted,6,6,,,,{},False,False,,
2054,1430,expensive,ok,6,6,28,407,379,"{""prefilter_fill_ratio_too_low"": 80, ""prefilter_floor_support_infeasible"": 298, ""prefilter_insufficient_projected_area"": 1}",False,False,,
2056,1430,expensive,ok,6,3,101,206,105,"{""prefilter_fill_ratio_too_low"": 34, ""prefilter_floor_support_infeasible"": 40, ""prefilter_insufficient_projected_area"": 31}",False,False,,
2058,1430,expensive,filtered_reject:diagnostic_explicit_prefilter_exhausted,6,6,,,,{},False,False,,
2059,1430,expensive,ok,6,1,129,183,54,"{""prefilter_fill_ratio_too_low"": 25, ""prefilter_floor_support_infeasible"": 26, ""prefilter_insufficient_projected_area"": 3}",False,False,,
2064,1430,expensive,ok,6,1,198,272,74,"{""prefilter_fill_ratio_too_low"": 45, ""prefilter_floor_support_infeasible"": 24, ""prefilter_insufficient_projected_area"": 5}",False,False,,
2065,1430,accepted,ok,6,1,116,202,86,"{""prefilter_fill_ratio_too_low"": 22, ""prefilter_floor_support_infeasible"": 47, ""prefilter_insufficient_projected_area"": 17}",True,True,Dist_utility_box_01,
2067,1431,expensive,filtered_reject:diagnostic_explicit_prefilter_exhausted,6,6,,,,{},False,False,,
2068,1431,expensive,ok,6,1,187,247,60,"{""prefilter_fill_ratio_too_low"": 44, ""prefilter_floor_support_infeasible"": 2, ""prefilter_insufficient_projected_area"": 14}",False,False,,
2071,1431,expensive,ok,6,0,343,343,0,{},False,False,,
2074,1431,accepted,ok,6,2,221,333,112,"{""prefilter_fill_ratio_too_low"": 90, ""prefilter_floor_support_infeasible"": 16, ""prefilter_insufficient_projected_area"": 6}",True,True,Dist_water_dispenser_01,
2076,1432,expensive,ok,6,4,118,200,82,"{""prefilter_fill_ratio_too_low"": 30, ""prefilter_floor_support_infeasible"": 40, ""prefilter_insufficient_projected_area"": 12}",False,False,,
2077,1432,expensive,ok,6,1,188,281,93,"{""prefilter_fill_ratio_too_low"": 73, ""prefilter_floor_support_infeasible"": 15, ""prefilter_insufficient_projected_area"": 5}",False,False,,
2079,1432,expensive,ok,6,0,357,459,102,"{""prefilter_fill_ratio_too_low"": 60, ""prefilter_floor_support_infeasible"": 15, ""prefilter_insufficient_projected_area"": 27}",False,False,,
2081,1432,accepted,ok,6,1,189,266,77,"{""prefilter_fill_ratio_too_low"": 53, ""prefilter_floor_support_infeasible"": 3, ""prefilter_insufficient_projected_area"": 21}",True,True,Dist_water_dispenser_01,
2082,1433,expensive,ok,6,3,101,162,61,"{""prefilter_fill_ratio_too_low"": 29, ""prefilter_floor_support_infeasible"": 28, ""prefilter_insufficient_projected_area"": 4}",False,False,,
2084,1433,expensive,ok,6,2,106,217,111,"{""prefilter_fill_ratio_too_low"": 54, ""prefilter_floor_support_infeasible"": 32, ""prefilter_insufficient_projected_area"": 25}",False,False,,
2088,1433,expensive,ok,6,0,326,376,50,"{""prefilter_fill_ratio_too_low"": 44, ""prefilter_insufficient_projected_area"": 6}",False,False,,
2089,1433,accepted,ok,6,3,184,254,70,"{""prefilter_fill_ratio_too_low"": 30, ""prefilter_floor_support_infeasible"": 10, ""prefilter_insufficient_projected_area"": 30}",True,True,Dist_utility_box_01,
2090,1434,expensive,ok,6,0,45,83,38,"{""prefilter_floor_support_infeasible"": 32, ""prefilter_insufficient_projected_area"": 6}",False,False,,
2092,1434,expensive,ok,6,1,313,346,33,"{""prefilter_fill_ratio_too_low"": 33}",False,False,,
2093,1434,expensive,ok,6,2,216,264,48,"{""prefilter_fill_ratio_too_low"": 43, ""prefilter_floor_support_infeasible"": 1, ""prefilter_insufficient_projected_area"": 4}",False,False,,
2095,1434,expensive,ok,6,3,127,198,71,"{""prefilter_fill_ratio_too_low"": 23, ""prefilter_floor_support_infeasible"": 39, ""prefilter_insufficient_projected_area"": 9}",False,False,,
2097,1434,expensive,ok,6,6,29,185,156,"{""prefilter_fill_ratio_too_low"": 48, ""prefilter_floor_support_infeasible"": 107, ""prefilter_insufficient_projected_area"": 1}",False,False,,
2102,1434,accepted,ok,6,0,89,146,57,"{""prefilter_fill_ratio_too_low"": 15, ""prefilter_floor_support_infeasible"": 42}",True,True,Dist_Shelf_01,
2103,1435,expensive,filtered_reject:diagnostic_explicit_prefilter_exhausted,6,6,,,,{},False,False,,
2104,1435,accepted,ok,6,1,174,227,53,"{""prefilter_fill_ratio_too_low"": 44, ""prefilter_floor_support_infeasible"": 1, ""prefilter_insufficient_projected_area"": 8}",True,True,Dist_utility_box_01,
2107,1436,expensive,ok,6,3,144,185,41,"{""prefilter_fill_ratio_too_low"": 20, ""prefilter_floor_support_infeasible"": 20, ""prefilter_insufficient_projected_area"": 1}",False,False,,
2108,1436,accepted,ok,6,2,122,223,101,"{""prefilter_fill_ratio_too_low"": 66, ""prefilter_floor_support_infeasible"": 21, ""prefilter_insufficient_projected_area"": 14}",True,True,Dist_water_dispenser_01,
2111,1437,expensive,ok,6,0,236,247,11,"{""prefilter_fill_ratio_too_low"": 5, ""prefilter_floor_support_infeasible"": 5, ""prefilter_insufficient_projected_area"": 1}",False,False,,
2112,1437,expensive,ok,6,3,15,46,31,"{""prefilter_floor_support_infeasible"": 28, ""prefilter_insufficient_projected_area"": 3}",False,False,,
2114,1437,expensive,ok,6,1,146,204,58,"{""prefilter_fill_ratio_too_low"": 25, ""prefilter_floor_support_infeasible"": 27, ""prefilter_insufficient_projected_area"": 6}",False,False,,
2115,1437,expensive,ok,6,2,252,323,71,"{""prefilter_fill_ratio_too_low"": 51, ""prefilter_insufficient_projected_area"": 20}",False,False,,
2116,1437,accepted,ok,6,2,198,293,95,"{""prefilter_fill_ratio_too_low"": 85, ""prefilter_floor_support_infeasible"": 8, ""prefilter_insufficient_projected_area"": 2}",True,True,Dist_utility_box_01,
2118,1438,accepted,ok,6,3,72,174,102,"{""prefilter_fill_ratio_too_low"": 50, ""prefilter_floor_support_infeasible"": 52}",True,True,Dist_construction_sign_01,
2120,1439,expensive,ok,6,1,41,50,9,"{""prefilter_floor_support_infeasible"": 5, ""prefilter_insufficient_projected_area"": 4}",False,False,,
2123,,expensive,baseline_reject:diagnostic_explicit_proposal_failed,,,,,,,,,,
2124,1439,expensive,ok,6,1,156,222,66,"{""prefilter_fill_ratio_too_low"": 33, ""prefilter_floor_support_infeasible"": 5, ""prefilter_insufficient_projected_area"": 28}",False,False,,
2125,1439,expensive,ok,6,3,64,77,13,"{""prefilter_fill_ratio_too_low"": 4, ""prefilter_floor_support_infeasible"": 8, ""prefilter_insufficient_projected_area"": 1}",False,False,,
2127,1439,expensive,ok,6,5,38,172,134,"{""prefilter_fill_ratio_too_low"": 44, ""prefilter_floor_support_infeasible"": 89, ""prefilter_insufficient_projected_area"": 1}",False,False,,
2129,1439,expensive,ok,6,1,163,221,58,"{""prefilter_fill_ratio_too_low"": 42, ""prefilter_floor_support_infeasible"": 12, ""prefilter_insufficient_projected_area"": 4}",False,False,,
2132,1439,expensive,ok,6,2,162,220,58,"{""prefilter_fill_ratio_too_low"": 43, ""prefilter_floor_support_infeasible"": 1, ""prefilter_insufficient_projected_area"": 14}",False,False,,
2134,1439,accepted,ok,6,3,80,215,135,"{""prefilter_fill_ratio_too_low"": 54, ""prefilter_floor_support_infeasible"": 73, ""prefilter_insufficient_projected_area"": 8}",True,True,Dist_Shelf_01,
2135,1440,accepted,ok,6,3,159,252,93,"{""prefilter_fill_ratio_too_low"": 31, ""prefilter_insufficient_projected_area"": 62}",True,True,Dist_utility_box_01,
2138,1441,expensive,ok,6,4,65,162,97,"{""prefilter_fill_ratio_too_low"": 19, ""prefilter_floor_support_infeasible"": 76, ""prefilter_insufficient_projected_area"": 2}",False,False,,
2139,1441,expensive,ok,6,1,179,197,18,"{""prefilter_fill_ratio_too_low"": 18}",False,False,,
2140,1441,expensive,ok,6,2,133,229,96,"{""prefilter_fill_ratio_too_low"": 28, ""prefilter_floor_support_infeasible"": 29, ""prefilter_insufficient_projected_area"": 39}",False,False,,
2143,1441,expensive,ok,6,5,121,195,74,"{""prefilter_fill_ratio_too_low"": 29, ""prefilter_floor_support_infeasible"": 44, ""prefilter_insufficient_projected_area"": 1}",False,False,,
2145,1441,accepted,ok,6,2,74,166,92,"{""prefilter_fill_ratio_too_low"": 57, ""prefilter_floor_support_infeasible"": 34, ""prefilter_insufficient_projected_area"": 1}",True,True,Dist_water_dispenser_01,
2148,1442,expensive,ok,6,4,223,424,201,"{""prefilter_floor_support_infeasible"": 188, ""prefilter_insufficient_projected_area"": 13}",False,False,,
2149,1442,expensive,ok,6,1,271,342,71,"{""prefilter_fill_ratio_too_low"": 64, ""prefilter_insufficient_projected_area"": 7}",False,False,,
2150,1442,accepted,ok,6,5,32,118,86,"{""prefilter_fill_ratio_too_low"": 5, ""prefilter_floor_support_infeasible"": 78, ""prefilter_insufficient_projected_area"": 3}",True,True,Dist_Cole_Hardware_Mug_Classic_Blue,
2152,1443,accepted,ok,6,1,149,205,56,"{""prefilter_fill_ratio_too_low"": 46, ""prefilter_floor_support_infeasible"": 7, ""prefilter_insufficient_projected_area"": 3}",True,True,Dist_utility_box_01,
2154,1444,expensive,filtered_reject:diagnostic_explicit_prefilter_exhausted,2,2,,,,{},False,False,,
2155,1444,accepted,ok,6,3,150,204,54,"{""prefilter_fill_ratio_too_low"": 33, ""prefilter_insufficient_projected_area"": 21}",True,True,Dist_utility_box_01,
2158,1445,expensive,ok,6,2,132,222,90,"{""prefilter_fill_ratio_too_low"": 73, ""prefilter_floor_support_infeasible"": 10, ""prefilter_insufficient_projected_area"": 7}",False,False,,
2160,1445,accepted,ok,6,1,72,137,65,"{""prefilter_fill_ratio_too_low"": 18, ""prefilter_floor_support_infeasible"": 47}",True,True,Dist_water_dispenser_01,
2161,1446,expensive,filtered_reject:diagnostic_explicit_prefilter_exhausted,6,6,,,,{},False,False,,
2163,1446,expensive,ok,6,4,96,209,113,"{""prefilter_fill_ratio_too_low"": 35, ""prefilter_floor_support_infeasible"": 46, ""prefilter_insufficient_projected_area"": 32}",False,False,,
2166,1446,accepted,ok,6,1,270,333,63,"{""prefilter_fill_ratio_too_low"": 58, ""prefilter_insufficient_projected_area"": 5}",True,True,Dist_chinese_screen_panels,
2172,1447,expensive,filtered_reject:diagnostic_explicit_prefilter_exhausted,6,6,,,,{},False,False,,
2175,1447,accepted,ok,6,1,107,135,28,"{""prefilter_fill_ratio_too_low"": 14, ""prefilter_floor_support_infeasible"": 11, ""prefilter_insufficient_projected_area"": 3}",True,True,Dist_water_dispenser_01,
2176,1448,expensive,ok,6,1,192,255,63,"{""prefilter_fill_ratio_too_low"": 62, ""prefilter_insufficient_projected_area"": 1}",False,False,,
2177,1448,expensive,ok,6,6,9,56,47,"{""prefilter_floor_support_infeasible"": 46, ""prefilter_insufficient_projected_area"": 1}",False,False,,
2178,1448,accepted,ok,6,3,84,180,96,"{""prefilter_fill_ratio_too_low"": 69, ""prefilter_floor_support_infeasible"": 18, ""prefilter_insufficient_projected_area"": 9}",True,True,Dist_construction_sign_01,
