proposal_index,usable_slot,old_outcome,new_outcome,replayed,old_runtime_s,new_runtime_s,old_stage_context_s,new_stage_context_s,old_stage_explicit_s,new_stage_explicit_s,new_stage_explicit_prep_s,old_explicit_visible_pixels,new_explicit_visible_pixels,old_side_match,new_side_match,new_metrics_available,new_f_explicit_target,new_f_explicit_actual_lowres,new_explicit_abs_error_lowres,old_realization_attempt_count,new_realization_attempt_count,new_coarse_eval_count,new_fine_eval_count,new_search_winning_stage,new_solver_fail_reason,old_solver_fail_reason,new_context_skipped,new_reject_counts
180,79,expensive_reject,rejected,True,24.42941975593567,17.528477907180786,6.48438,0.004681,15.965442,15.618925,0.151766,0,0,,,False,0.20059055421810051,,,16,16,36,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 5, ""candidate_budget_exhausted"": 7, ""collision"": 2, ""score_callback"": 9, ""support"": 20}"
183,79,expensive_reject,accepted,True,108.37117552757263,173.85569858551025,15.307672,16.896142,76.501703,133.977558,0.140451,0,488,,True,True,0.17523444273776634,0.08755760368663594,0.0876768390511304,21,18,60,0,primary,,bounded_local_search_exhausted,False,"{""candidate_budget_exhausted"": 7, ""score_callback"": 58}"
184,79,expensive_reject,rejected,True,77.02824234962463,38.832597494125366,54.562151,0.0016,20.035048,36.188628,0.170089,0,0,,,False,0.3836264574201448,,,21,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""camera_clearance"": 1, ""candidate_budget_exhausted"": 11, ""collision"": 10, ""score_callback"": 24, ""support"": 25}"
187,79,accepted,accepted,True,31.886475324630737,34.235026597976685,22.320655,24.365199,4.070215,4.068662,0.177572,514,514,True,True,True,0.18002557219038512,0.22344827586206897,0.043422703671683854,1,1,1,0,preprobe,,,False,{}
192,83,expensive_reject,rejected,True,50.886961221694946,64.33874368667603,7.871977,0.001619,37.594843,58.866248,0.168652,0,0,,,False,0.123365894996608,,,21,24,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 12, ""score_callback"": 60}"
195,83,accepted,accepted,True,58.78199124336243,68.6997709274292,15.77924,13.717435,27.718965,39.115317,0.102688,3422,3422,True,True,True,0.4108783468383854,0.294835115193495,0.11604323164489044,8,9,32,0,gate-overlap-refine,,,False,"{""camera_clearance"": 8, ""candidate_budget_exhausted"": 3, ""score_callback"": 22}"
199,85,expensive_reject,rejected,True,45.12682223320007,55.44748854637146,10.941954,0.002441,28.173528,49.519256,0.159185,0,0,,,False,0.11092954169765702,,,21,21,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 10, ""collision"": 3, ""score_callback"": 41, ""support"": 16}"
201,85,expensive_reject,rejected,True,81.59587407112122,57.576770305633545,19.583994,10.867847,52.412609,32.033906,0.160519,0,1519,,True,True,0.3417435681136394,0.4074492099322799,0.06570564181864053,21,9,29,0,target-seed,,bounded_local_search_exhausted,False,"{""candidate_budget_exhausted"": 4, ""collision"": 1, ""score_callback"": 17, ""support"": 10}"
202,85,accepted,accepted,True,45.04691958427429,45.04679894447327,15.48127,15.525561,20.881452,20.589814,0.171945,512,512,True,True,True,0.3743046620576926,0.2607502287282708,0.11355443332942178,3,3,10,0,preprobe,,,False,"{""score_callback"": 8}"
209,89,expensive_reject,rejected,True,72.35513949394226,96.57241177558899,10.423514,0.001464,58.388399,93.042008,0.150628,0,0,,,False,0.3653783774023659,,,21,22,60,0,,bounded_local_search_exhausted,bounded_local_search_exhausted,True,"{""candidate_budget_exhausted"": 10, ""score_callback"": 60}"
