usable_id,frame_id,reproj_max_px,reproj_centroid_px,reproj_consistency_px,K_valid,pose_valid
189,f0189,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
190,f0190,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
191,f0191,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
192,f0192,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
193,f0193,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
194,f0194,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
195,f0195,8.038873388460929e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
196,f0196,8.038873388460929e-14,8.038873388460929e-14,5.684341886080802e-14,True,True
197,f0197,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
198,f0198,1.1718571004216928e-13,0.0,1.1368683772161603e-13,True,True
199,f0199,8.038873388460929e-14,8.038873388460929e-14,5.684341886080802e-14,True,True
200,f0200,1.6077746776921858e-13,0.0,1.1368683772161603e-13,True,True
201,f0201,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
202,f0202,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
203,f0203,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
204,f0204,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
205,f0205,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
206,f0206,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
207,f0207,7.553172887309252e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
208,f0208,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
209,f0209,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
210,f0210,5.684341886080802e-14,5.684341886080802e-14,2.842170943040401e-14,True,True
211,f0211,1.1457157353758233e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
212,f0212,4.773959005888173e-14,3.597122599785507e-14,4.773959005888173e-14,True,True
213,f0213,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
214,f0214,6.355287432313019e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
215,f0215,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
216,f0216,1.1718571004216928e-13,2.842170943040401e-14,1.1368683772161603e-13,True,True
217,f0217,7.105427357601002e-14,1.4210854715202004e-14,5.684341886080802e-14,True,True
218,f0218,1.1368683772161603e-13,2.842170943040401e-14,1.1368683772161603e-13,True,True
219,f0219,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
220,f0220,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
221,f0221,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
222,f0222,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
223,f0223,5.684341886080802e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
224,f0224,6.355287432313019e-14,7.105427357601002e-15,5.684341886080802e-14,True,True
225,f0225,6.355287432313019e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
226,f0226,1.1718571004216928e-13,1.1368683772161603e-13,1.1368683772161603e-13,True,True
227,f0227,8.038873388460929e-14,8.038873388460929e-14,5.684341886080802e-14,True,True
228,f0228,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
229,f0229,2.842170943040401e-14,0.0,2.842170943040401e-14,True,True
230,f0230,1.1368683772161603e-13,8.038873388460929e-14,1.1368683772161603e-13,True,True
231,f0231,8.038873388460929e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
232,f0232,7.105427357601002e-14,3.552713678800501e-14,5.684341886080802e-14,True,True
233,f0233,1.1718571004216928e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
234,f0234,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
235,f0235,5.955433342649105e-14,0.0,5.684341886080802e-14,True,True
236,f0236,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
237,f0237,1.2710574864626038e-13,5.684341886080802e-14,1.1368683772161603e-13,True,True
238,f0238,1.1368683772161603e-13,2.842170943040401e-14,1.1368683772161603e-13,True,True
239,f0239,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
240,f0240,6.355287432313019e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
241,f0241,8.038873388460929e-14,0.0,5.684341886080802e-14,True,True
242,f0242,8.038873388460929e-14,8.038873388460929e-14,5.684341886080802e-14,True,True
243,f0243,5.859285502108464e-14,5.684341886080802e-14,5.684341886080802e-14,True,True
244,f0244,6.355287432313019e-14,0.0,5.684341886080802e-14,True,True
245,f0245,5.684341886080802e-14,5.684341886080802e-14,2.842170943040401e-14,True,True
246,f0246,1.2710574864626038e-13,0.0,1.1368683772161603e-13,True,True
247,f0247,5.684341886080802e-14,2.842170943040401e-14,5.684341886080802e-14,True,True
248,f0248,5.684341886080802e-14,0.0,5.684341886080802e-14,True,True
249,f0249,8.038873388460929e-14,6.355287432313019e-14,5.684341886080802e-14,True,True
